"","sample","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","Smp_000030",2.59150501990875,0.332325825551655,1.09429377652231,0.303689770225864,0.761364252326786,0.998097287623391
"2","Smp_000190",1.1756329091279,-0.222293237233808,1.45032300203386,-0.153271538079501,0.878184144767756,0.998097287623391
"3","Smp_000240",1.53349033872651,1.33171908341435,1.33233209046338,0.999539899208753,0.317533220929977,0.998097287623391
"4","Smp_000320",1.37692591880814,1.37955187844297,1.48089047678685,0.931569147123051,0.351559234007113,0.998097287623391
"5","Smp_000370",0.999801307484751,2.39111744774269,1.67980387718707,1.42345036835297,0.154605640074499,0.998097287623391
"6","Smp_000480",1.90081213862115,-1.24414637562294,1.26337948467357,-0.984776459263471,0.324733886267645,0.998097287623391
"7","Smp_000600",1.05102155598551,0.527190991692238,1.6105509691787,0.327335801089907,0.743413917228494,0.998097287623391
"8","Smp_000640",0.921685615876515,2.250822710601,1.71659727073911,1.31121186603767,0.189786194508707,0.998097287623391
"9","Smp_000820",0.945338095920033,-0.545210564965813,1.57197000835655,-0.346832676239043,0.728717027027829,0.998097287623391
"10","Smp_001090",1.77128520879344,0.339005661472189,1.25756818992936,0.269572389145143,0.787489244444196,0.998097287623391
"11","Smp_001170",1.41222510488238,-0.287822533672181,1.35033139554405,-0.213149553229648,0.831210314712373,0.998097287623391
"12","Smp_001360",0.769561484850591,-0.444437760670475,1.81528796248813,-0.244830445557136,0.806587719044092,0.998097287623391
"13","Smp_001500",2.69515174853899,0.998407095566653,1.08914412950729,0.91668959921614,0.359305317793535,0.998097287623391
"14","Smp_001610",4.70705680220644,-0.625362265300812,0.883437259845715,-0.707873998216949,0.479023508143189,0.998097287623391
"15","Smp_001830",0.949038830052296,-0.685253947891677,1.64980837700419,-0.415353660123849,0.677883024558143,0.998097287623391
"16","Smp_002010",1.77470249104898,0.562991334105066,1.25350559226638,0.449133484189055,0.653335366955648,0.998097287623391
"17","Smp_002080",3.79845194774485,1.22182108169297,0.920503313817124,1.32734023153741,0.184396161114002,0.998097287623391
"18","Smp_002180",1.27736651494613,-0.685652941126008,1.41038428498197,-0.486146186133073,0.626863522577734,0.998097287623391
"19","Smp_002410",2.3980586506154,1.46176062323036,1.32369658581898,1.10430187619314,0.269462209241378,0.998097287623391
"20","Smp_002630",1.96603237751774,-0.296380853749232,1.12394541876385,-0.263696838655386,0.792013531728695,0.998097287623391
"21","Smp_003250",4.07433645393846,-0.170076998723872,0.933909517696006,-0.182112930108539,0.855494101654018,0.998097287623391
"22","Smp_003410",1.28412529717675,-0.63245957061921,1.48308751249475,-0.426447910383473,0.669781496674993,0.998097287623391
"23","Smp_003660",2.75652175298169,0.896078681404863,1.12641945450648,0.795510657970182,0.426316513729252,0.998097287623391
"24","Smp_003930",1.2102357621458,-0.470303584834561,1.42759478189273,-0.329437730369836,0.741824853207478,0.998097287623391
"25","Smp_003980",1.48169963255876,0.251054756189136,1.35376594045559,0.18544915977473,0.852876753134419,0.998097287623391
"26","Smp_003990",3.79998409051305,-0.0429928515371248,0.962577841546276,-0.0446642855065742,0.964374901310686,0.998097287623391
"27","Smp_004080",1.25106067469506,0.772916922399623,1.46241926005398,0.528519381214312,0.597138898788353,0.998097287623391
"28","Smp_004220",3.12254125877052,-0.194385958639629,0.987894716499702,-0.196767889728549,0.844009180118565,0.998097287623391
"29","Smp_004310",0.916162966049256,0.163931962302619,1.69014289557355,0.0969929600224651,0.922731985178211,0.998097287623391
"30","Smp_004550",1.07642072656948,-1.83169483786355,1.57472811774095,-1.16318164210545,0.244755813180564,0.998097287623391
"31","Smp_004600",1.75779061559559,-0.00297704142063359,1.23825612686234,-0.00240422102992313,0.998081711007508,0.999321442468903
"32","Smp_004680",1.41048260943397,0.521032868762036,1.38935426442796,0.375018008079142,0.707647073907854,0.998097287623391
"33","Smp_004780",2.55653887053641,1.26716158761193,1.0538415153268,1.2024213975087,0.22920030303258,0.998097287623391
"34","Smp_004820",1.10446831419398,1.36885454308289,1.64567887920635,0.831787148986831,0.405529098914249,0.998097287623391
"35","Smp_004910",1.54503088833256,2.60879905965748,1.55706541315223,1.67545887129819,0.0938442341871732,0.998097287623391
"36","Smp_004990",5.00873656983537,0.41875024782371,0.802762271198189,0.521636682300342,0.601923317839178,0.998097287623391
"37","Smp_005670",1.25891972307882,0.813319831972151,1.52817365535878,0.532216891136761,0.594575785476179,0.998097287623391
"38","Smp_005880",2.16339834140579,0.113756304218685,1.1953533483729,0.0951654206461451,0.924183435622738,0.998097287623391
"39","Smp_006340",5.22234705424794,-0.209536521415091,0.800355939499946,-0.261804168712745,0.793472424971045,0.998097287623391
"40","Smp_006350",7.97837022155969,-0.227651473756775,0.651246406847493,-0.349562732881359,0.72666688328159,0.998097287623391
"41","Smp_006550",1.43050966171112,-0.174007195573797,1.48962621678726,-0.116812656499215,0.90700851398276,0.998097287623391
"42","Smp_006630",2.50371942787761,-2.13861915130438,1.13485997309651,-1.88447843963435,0.0595002884856326,0.998097287623391
"43","Smp_006690",1.91687009176695,-0.624324069536321,1.13251035547656,-0.551274490795809,0.581445522547333,0.998097287623391
"44","Smp_006700",13.2657515843918,-0.541470210376405,0.560994032468906,-0.965197807886515,0.334445744723281,0.998097287623391
"45","Smp_006710",7.16578184245007,0.237979144480944,0.64682256896359,0.367920285871071,0.712932673640593,0.998097287623391
"46","Smp_007170",0.840092507149273,0.559915203327055,1.73152828503827,0.323364745563299,0.746419025490886,0.998097287623391
