"","sample","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"1","Int-01",0,894.260588419282,620.303957749747,1411.87959826608,1009.9306906912,2730.67464191544,1405.50346851226,1121.87209609652
"2","Int-02",894.260588419282,0,1062.70268654972,2115.26594072708,240.890016397525,3446.64590580466,533.017823341772,1720.90296065757
"3","Int-03",620.303957749747,1062.70268654972,0,1093.21132449312,1100.62300539285,2411.32847202533,1538.43654402773,690.389744999156
"4","Int-04",1411.87959826608,2115.26594072708,1093.21132449312,0,2169.41697236838,1471.81724408977,2602.14181012488,568.173389028385
"5","Liv-01",1009.9306906912,240.890016397525,1100.62300539285,2169.41697236838,0,3482.73455778645,472.565339397633,1740.92590307572
"6","Liv-02",2730.67464191544,3446.64590580466,2411.32847202533,1471.81724408977,3482.73455778645,0,3930.8266306211,1802.66219797276
"7","Liv-03",1405.50346851226,533.017823341772,1538.43654402773,2602.14181012488,472.565339397633,3930.8266306211,0,2186.13334451492
"8","Liv-04",1121.87209609652,1720.90296065757,690.389744999156,568.173389028385,1740.92590307572,1802.66219797276,2186.13334451492,0
