"","Geneid","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04","total_counts"
"105","Smp_101820",0,0,2,2,2,0,0,4,10
"106","Smp_175580",10,4,6,16,0,2,0,10,48
"107","Smp_097240",6,0,0,7,0,1,0,3,17
"108","Smp_014290",0,0,4,2,2,2,0,6,16
"109","Smp_098330",2,0,0,2,2,4,0,0,10
"110","Smp_208090",9,6,3,2,0,0,0,5,25
"111","Smp_200410",4,0,2,3,3,0,0,1,13
"112","Smp_173180",2,0,4,2,2,2,0,4,16
"113","Smp_131790",4,0,0,4,0,4,0,0,12
"114","Smp_173190",0,2,0,4,4,0,0,4,14
"115","Smp_071250",2,0,6,2,2,2,0,2,16
"116","Smp_160850",0,0,0,4,2,0,0,8,14
"117","Smp_071390",30,2,10,12,2,18,2,8,84
"118","Smp_160950",2,0,0,0,0,6,0,2,10
"119","Smp_347800",0,0,1,0,2,5,0,5,13
"120","Smp_071470",2,0,4,0,2,4,0,4,16
"121","Smp_071550",69,25,35,38,10,71,10,53,311
"122","Smp_071560",24,11,10,17,6,15,0,14,97
"123","Smp_012930",2,0,0,2,2,0,0,4,10
"124","Smp_012860",0,0,0,2,2,8,0,5,17
"125","Smp_313530",17,10,6,7,6,15,0,11,72
"126","Smp_313540",29,5,11,27,6,17,6,33,134
"127","Smp_012750",9,0,4,4,0,4,0,4,25
"128","Smp_012740",6,2,1,4,5,4,0,1,23
"129","Smp_128990",3,2,5,4,1,4,0,6,25
"130","Smp_012720",6,0,4,0,0,1,0,1,12
"131","Smp_313730",2,0,0,2,0,4,1,5,14
"132","Smp_012690",1,1,1,4,2,0,1,4,14
"133","Smp_012570",2,0,0,1,2,1,0,4,10
"134","Smp_012470",2,0,0,4,2,4,0,2,14
"135","Smp_194160",2,0,2,2,4,0,2,6,18
"136","Smp_154410",2,2,2,6,4,10,0,9,35
"137","Smp_060090",6,2,2,4,2,0,0,2,18
"138","Smp_346640",5,0,0,2,4,2,0,0,13
"139","Smp_200850",3,1,3,5,4,4,0,1,21
"140","Smp_200840",261,86,116,201,51,154,13,98,980
"141","Smp_200820",178,67,73,136,33,111,4,70,672
"142","Smp_073340",0,0,0,6,7,2,1,10,26
"143","Smp_330470",4,2,0,7,0,0,0,0,13
"144","Smp_314730",7,2,6,4,2,5,1,4,31
"145","Smp_006550",2,0,2,6,0,8,0,0,18
"146","Smp_006630",4,3,6,8,1,3,0,0,25
"147","Smp_006690",4,1,3,6,1,1,0,6,22
"148","Smp_006700",42,4,15,35,11,11,3,22,143
"149","Smp_006710",8,7,7,12,5,17,1,15,72
"150","Smp_316270",2,0,0,2,1,3,0,3,11
"151","Smp_315420",2,0,0,2,1,2,0,3,10
"152","Smp_033950",0,2,0,2,2,4,0,0,10
"153","Smp_033760",0,0,2,2,3,4,0,0,11
"154","Smp_140390",9,0,0,2,2,7,0,5,25
"155","Smp_033710",6,0,0,3,2,0,0,2,13
"156","Smp_340670",10,2,8,16,2,10,4,20,72
"157","Smp_052640",6,1,1,5,3,1,2,0,19
"158","Smp_150360",2,2,0,4,0,0,0,2,10
"159","Smp_340510",10,0,2,2,1,2,0,5,22
"160","Smp_025860",2,0,0,2,2,2,0,4,12
"161","Smp_301340",6,0,2,3,5,5,0,4,25
"162","Smp_305800",8,0,1,11,4,5,0,4,33
"163","Smp_136190",9,2,6,4,2,7,0,4,34
"164","Smp_136090",2,0,2,0,2,2,0,2,10
"165","Smp_347110",14,2,10,10,6,14,0,24,80
"166","Smp_093540",3,0,0,4,1,2,0,0,10
"167","Smp_066830",2,0,2,0,2,0,2,2,10
"168","Smp_007380",0,0,0,2,0,2,2,4,10
"169","Smp_007260",2,0,2,0,2,2,0,4,12
"170","Smp_318890",5,2,6,2,2,16,0,3,36
"171","Smp_318900",7,2,5,3,2,19,0,1,39
"172","Smp_318920",7,1,4,3,2,18,0,1,36
"173","Smp_196700",5,0,2,3,1,2,0,3,16
"174","Smp_007170",0,0,2,2,0,4,0,2,10
"175","Smp_093950",2,0,4,4,2,2,0,6,20
"176","Smp_173640",14,1,9,9,1,9,0,10,53
"177","Smp_008500",0,0,0,4,4,2,0,2,12
"178","Smp_126720",6,0,3,4,2,4,2,4,25
"179","Smp_008430",19,8,14,20,3,21,0,16,101
"180","Smp_008440",40,8,19,37,14,73,8,32,231
"181","Smp_056970",8,4,8,8,14,22,0,6,70
"182","Smp_210470",4,0,0,0,4,4,0,4,16
"183","Smp_152850",0,1,2,0,1,3,0,3,10
"184","Smp_033530",1,0,2,0,0,3,0,4,10
"185","Smp_140270",3,2,2,4,2,1,0,4,18
"186","Smp_319050",2,0,4,4,0,0,0,4,14
"187","Smp_319100",4,7,4,9,2,5,2,2,35
"188","Smp_102690",2,0,2,2,2,0,0,6,14
"189","Smp_173840",2,2,2,2,0,3,2,0,13
"190","Smp_341860",5,1,2,5,0,7,2,2,24
"191","Smp_009760",9,2,1,12,11,15,0,13,63
"192","Smp_301610",35,22,23,26,28,56,14,85,289
"193","Smp_301620",10,0,5,11,5,9,0,7,47
"194","Smp_337140",2,0,2,4,0,0,0,4,12
"195","Smp_127440",0,0,0,8,6,2,2,4,22
"196","Smp_319220",2,2,4,4,2,0,0,2,16
"197","Smp_319230",1,1,0,3,4,8,0,2,19
"198","Smp_000030",4,0,4,4,2,0,2,6,22
"199","Smp_132670",2,0,0,13,0,0,0,0,15
"200","Smp_019190",0,2,0,0,2,4,0,8,16
"201","Smp_019260",9,1,1,4,2,2,2,5,26
"202","Smp_019440",2,0,0,2,4,4,0,4,16
"203","Smp_097500",8,0,2,5,0,2,2,5,24
"204","Smp_180160",5,0,2,0,0,0,0,4,11
"205","Smp_332480",30,11,16,37,9,24,3,32,162
"206","Smp_137330",0,0,2,2,2,2,2,2,12
"207","Smp_118040",7,2,0,3,0,2,0,2,16
"208","Smp_028060",0,2,0,4,0,4,0,0,10
"209","Smp_005230",0,0,0,2,0,2,0,6,10
"210","Smp_093440",8,0,2,2,2,14,0,2,30
"211","Smp_005180",0,0,0,0,4,6,0,6,16
"212","Smp_124820",3,2,0,5,2,2,0,5,19
"213","Smp_004990",16,0,2,10,6,8,2,8,52
"214","Smp_009650",2,2,0,6,0,4,0,8,22
"215","Smp_032260",12,2,2,0,0,6,0,8,30
"216","Smp_032180",0,0,0,2,2,10,0,4,18
"217","Smp_139520",44,13,44,51,23,88,5,62,330
"218","Smp_036270",10,4,0,4,2,4,0,4,28
"219","Smp_036220",4,0,2,0,2,16,0,6,30
"220","Smp_141630",2,0,0,0,2,4,0,2,10
"221","Smp_084620",4,0,8,0,4,4,0,0,20
"222","Smp_092770",10,1,10,8,5,21,0,13,68
"223","Smp_210810",2,0,6,2,2,0,0,2,14
"224","Smp_319470",10,2,4,8,1,2,0,1,28
"225","Smp_337420",0,0,0,0,2,3,0,6,11
"226","Smp_068100",4,0,0,8,0,0,0,6,18
"227","Smp_083650",2,0,0,2,0,4,0,2,10
"228","Smp_083710",10,1,6,3,5,6,0,0,31
"229","Smp_083720",8,2,2,5,0,0,0,9,26
"230","Smp_319610",3,0,1,4,3,3,1,3,18
"231","Smp_144590",0,0,2,0,3,4,0,2,11
"232","Smp_144490",2,0,2,0,2,2,0,2,10
"233","Smp_196510",4,0,2,2,2,2,0,0,12
"234","Smp_008140",1,0,1,3,2,4,0,1,12
"235","Smp_126580",3,0,3,0,0,6,0,8,20
"236","Smp_008320",0,0,2,6,4,4,0,0,16
"237","Smp_008360",3,0,4,4,8,10,0,4,33
"238","Smp_008400",6,4,0,7,2,8,2,6,35
"239","Smp_083200",2,0,4,0,2,3,1,6,18
"240","Smp_167240",16,1,1,8,2,13,0,12,53
"241","Smp_083180",2,0,0,4,0,2,0,2,10
"242","Smp_083150",2,4,0,4,4,6,0,8,28
"243","Smp_083080",2,0,4,4,4,4,4,10,32
"244","Smp_167190",0,0,0,4,3,3,0,0,10
"245","Smp_083030",1,0,1,2,0,6,0,0,10
"246","Smp_083020",2,0,0,2,0,2,1,5,12
"247","Smp_336360",4,0,0,2,0,2,2,0,10
"248","Smp_071140",0,0,0,4,0,2,0,4,10
"249","Smp_079650",4,1,0,5,0,4,0,0,14
"250","Smp_165070",1,0,3,5,1,0,0,1,11
"251","Smp_345580",6,2,0,4,0,1,0,3,16
"252","Smp_079700",31,17,27,35,12,24,3,34,183
"253","Smp_054800",10,6,13,6,4,9,5,12,65
"254","Smp_054790",9,2,3,3,2,4,3,6,32
"255","Smp_340900",10,2,0,8,12,16,0,26,74
"256","Smp_327480",4,2,4,6,2,6,0,6,30
"257","Smp_302170",4,1,2,5,3,7,0,8,30
"258","Smp_302180",4,1,2,5,3,7,0,8,30
"259","Smp_303550",2,1,2,4,3,4,0,5,21
"260","Smp_303410",2,0,1,2,1,3,0,4,13
"261","Smp_303400",2,0,1,3,2,3,0,4,15
"262","Smp_090920",17,3,4,12,2,2,0,3,43
"263","Smp_090930",12,0,2,6,0,10,0,4,34
"264","Smp_048430",8,4,6,10,2,8,0,16,54
"265","Smp_148070",32,4,4,15,4,30,0,16,105
"266","Smp_319760",3,3,0,2,0,4,0,0,12
"267","Smp_147960",2,0,0,4,2,2,0,2,12
"268","Smp_147920",0,0,0,2,0,0,2,6,10
"269","Smp_048050",19,3,10,16,0,19,1,15,83
"270","Smp_302270",51,4,41,57,34,83,1,60,331
"271","Smp_049230",7,0,3,4,1,5,0,3,23
"272","Smp_302280",36,12,28,55,27,63,0,60,281
"273","Smp_302290",36,5,27,46,24,55,1,46,240
"274","Smp_247170",8,4,0,6,7,6,0,6,37
"275","Smp_302320",5,1,6,8,3,14,0,10,47
"276","Smp_302350",12,4,9,17,8,29,0,21,100
"277","Smp_303690",14,5,11,20,7,25,0,24,106
"278","Smp_185680",10,2,6,14,5,23,0,13,73
"279","Smp_332600",2,2,0,0,0,2,0,4,10
"280","Smp_049550",10,2,8,16,12,4,2,22,76
"281","Smp_049610",23,4,16,16,8,18,2,34,121
"282","Smp_049680",2,0,0,2,0,0,0,8,12
"283","Smp_302460",1,0,2,2,3,2,0,3,13
"284","Smp_302470",1,0,0,0,1,4,0,4,10
"285","Smp_059790",1,0,4,2,3,2,0,2,14
"286","Smp_059780",1,0,0,4,1,4,0,4,14
"287","Smp_247240",0,0,0,0,4,4,0,2,10
"288","Smp_306290",3,0,2,3,3,5,0,6,22
"289","Smp_306300",1,0,0,3,1,2,2,2,11
"290","Smp_172140",2,0,4,2,0,2,0,4,14
"291","Smp_091480",4,0,2,4,0,4,0,2,16
"292","Smp_091460",6,2,8,8,22,10,4,16,76
"293","Smp_172060",98,22,41,63,25,26,5,77,357
"294","Smp_091390",5,2,2,5,0,2,0,2,18
"295","Smp_210430",4,2,0,6,2,6,0,4,24
"296","Smp_072320",3,5,5,1,4,3,1,13,35
"297","Smp_072330",6,2,6,8,22,19,0,62,125
"298","Smp_072340",8,0,4,8,1,3,0,15,39
"299","Smp_072360",0,2,4,3,0,2,0,0,11
"300","Smp_072370",6,0,0,5,0,2,0,2,15
"301","Smp_072140",0,0,2,4,2,6,0,2,16
"302","Smp_086470",6,2,0,4,0,0,0,1,13
"303","Smp_086480",2,2,0,4,2,8,0,8,26
"304","Smp_337020",1,1,3,3,2,7,0,1,18
"305","Smp_337030",1,1,4,3,2,7,0,1,19
"306","Smp_332620",8,0,2,2,0,0,0,2,14
"307","Smp_345290",1,0,0,3,2,5,0,0,11
"308","Smp_099890",0,4,2,2,2,2,0,2,14
"309","Smp_308370",40,8,8,14,18,42,6,42,178
"310","Smp_065580",2,0,2,4,2,4,0,6,20
"311","Smp_088920",0,0,4,0,3,0,0,4,11
"312","Smp_179180",4,4,2,4,4,6,0,4,28
"313","Smp_104030",2,0,4,2,0,2,0,2,12
"314","Smp_103990",0,0,4,2,0,2,0,2,10
"315","Smp_103950",2,0,0,0,0,6,0,2,10
"316","Smp_334940",4,6,2,8,0,6,4,2,32
"317","Smp_121950",1,0,0,2,0,4,0,3,10
"318","Smp_121990",0,0,2,2,0,6,0,4,14
"319","Smp_144080",2,0,2,2,2,0,0,4,12
"320","Smp_040270",4,0,2,4,2,4,2,4,22
"321","Smp_040280",6,0,2,0,0,0,0,2,10
"322","Smp_040460",0,0,0,4,0,4,0,2,10
"323","Smp_348230",6,4,2,14,6,18,4,6,60
"324","Smp_040550",1,0,2,0,0,3,0,6,12
"325","Smp_200180",0,0,4,3,0,2,0,1,10
"326","Smp_312630",0,0,3,1,0,6,0,5,15
"327","Smp_302860",4,6,8,9,6,10,2,8,53
"328","Smp_320210",0,1,0,5,3,8,0,8,25
"329","Smp_152000",0,2,0,5,0,2,0,2,11
"330","Smp_344430",4,0,0,1,0,2,0,7,14
"331","Smp_055960",4,0,0,8,6,6,4,2,30
"332","Smp_344440",0,4,4,6,0,8,2,13,37
"333","Smp_055990",0,0,2,10,2,4,0,4,22
"334","Smp_152090",6,0,0,3,2,4,0,1,16
"335","Smp_152130",0,2,0,2,4,4,0,4,16
"336","Smp_344240",0,0,0,3,0,2,2,4,11
"337","Smp_320240",0,0,2,6,2,0,0,0,10
"338","Smp_051670",7,0,0,1,0,2,0,4,14
"339","Smp_337340",4,2,4,0,0,0,0,1,11
"340","Smp_072720",2,2,2,0,4,4,0,4,18
"341","Smp_038870",0,0,0,2,0,6,2,2,12
"342","Smp_241950",3,0,0,4,0,2,0,4,13
"343","Smp_349860",0,0,0,4,4,2,0,6,16
"344","Smp_061590",1,2,0,2,3,2,0,1,11
"345","Smp_061580",2,2,0,4,2,6,0,4,20
"346","Smp_097180",4,0,3,3,2,0,0,5,17
"347","Smp_201810",4,0,1,1,3,7,2,4,22
"348","Smp_135120",2,1,0,4,0,4,0,2,13
"349","Smp_340440",44,9,16,32,4,38,0,20,163
"350","Smp_248100",2,0,2,6,0,0,0,4,14
"351","Smp_044000",2,0,0,5,3,8,2,2,22
"352","Smp_213130",0,0,6,4,0,8,0,6,24
"353","Smp_017430",10,4,0,2,2,4,0,16,38
"354","Smp_335620",14,0,2,8,10,3,0,12,49
"355","Smp_341240",4,2,2,0,4,0,0,2,14
"356","Smp_310210",0,0,2,9,0,6,2,0,19
"357","Smp_031570",2,0,4,2,0,2,2,4,16
"358","Smp_136700",3,4,1,1,2,8,0,0,19
"359","Smp_154610",6,0,2,2,0,0,0,4,14
"360","Smp_349100",4,0,0,3,0,2,2,0,11
"361","Smp_321750",3,0,2,5,3,0,0,0,13
"362","Smp_171720",8,3,1,9,0,1,1,4,27
"363","Smp_090690",5,3,1,2,2,1,0,2,16
"364","Smp_242430",2,0,0,4,0,0,0,4,10
"365","Smp_148160",2,2,4,8,0,0,0,0,16
"366","Smp_342360",1,3,0,1,0,2,0,3,10
"367","Smp_015530",0,0,0,8,4,6,0,14,32
"368","Smp_130680",5,3,0,2,0,0,0,0,10
"369","Smp_130690",4,0,6,2,4,6,0,4,26
"370","Smp_015690",6,4,4,8,0,5,2,34,63
"371","Smp_130730",46,30,14,34,9,15,5,30,183
"372","Smp_321860",1,2,7,2,0,0,0,2,14
"373","Smp_015860",1,0,4,1,2,2,0,0,10
"374","Smp_056440",4,0,0,2,2,0,0,2,10
"375","Smp_056360",14,2,6,10,6,6,2,6,52
"376","Smp_152330",2,0,2,2,0,0,0,4,10
"377","Smp_321920",4,2,0,4,0,0,1,0,11
"378","Smp_176230",0,0,0,4,4,0,0,2,10
"379","Smp_175900",6,0,2,4,0,0,2,2,16
"380","Smp_175930",5,0,3,1,2,2,0,2,15
"381","Smp_064590",0,0,0,2,2,4,2,4,14
"382","Smp_043970",6,2,2,1,0,5,0,3,19
"383","Smp_137750",4,5,1,2,0,1,0,3,16
"384","Smp_038210",6,0,0,0,0,2,0,2,10
"385","Smp_214100",0,0,0,0,2,6,0,6,14
"386","Smp_343560",25,4,13,30,7,24,4,14,121
"387","Smp_204940",15,11,5,18,7,14,0,13,83
"388","Smp_104470",4,0,0,2,0,0,0,4,10
"389","Smp_322000",1,1,2,2,2,4,2,7,21
"390","Smp_211250",10,0,2,10,10,8,0,6,46
"391","Smp_328230",8,0,0,2,0,2,2,2,16
"392","Smp_153140",3,2,2,1,0,7,1,3,19
"393","Smp_193800",28,8,7,12,6,10,2,14,87
"394","Smp_164820",10,4,10,22,4,13,0,8,71
"395","Smp_304130",23,6,8,17,6,8,0,12,80
"396","Smp_079220",6,4,4,10,2,14,2,10,52
"397","Smp_017730",2,2,2,0,0,0,0,8,14
"398","Smp_017710",0,0,0,4,2,2,2,2,12
"399","Smp_196020",1,3,2,0,2,3,0,2,13
"400","Smp_028500",2,0,2,6,2,6,0,2,20
"401","Smp_028440",4,0,4,0,0,0,0,6,14
"402","Smp_322220",4,0,2,6,0,10,0,0,22
"403","Smp_028330",6,0,2,0,2,4,0,4,18
"404","Smp_322230",5,5,6,1,7,23,5,15,67
"405","Smp_343150",0,0,2,2,4,2,0,6,16
"406","Smp_134140",2,0,0,2,0,4,0,2,10
"407","Smp_343250",2,0,0,2,2,2,0,3,11
"408","Smp_245370",10,3,2,11,3,8,0,15,52
"409","Smp_139030",5,2,2,2,6,15,2,3,37
"410","Smp_031300",0,0,0,6,0,6,0,4,16
"411","Smp_335040",62,25,36,71,22,43,5,51,315
"412","Smp_031360",4,0,0,2,0,6,0,2,14
"413","Smp_007450",0,0,0,0,4,8,0,0,12
"414","Smp_347700",4,0,4,0,0,8,0,6,22
"415","Smp_245320",1,2,0,2,4,4,0,0,13
"416","Smp_007710",2,0,4,2,2,0,0,6,16
"417","Smp_340420",6,0,0,2,4,2,0,4,18
"418","Smp_335675",0,2,3,3,0,2,2,3,15
"419","Smp_022660",8,0,4,4,8,10,2,12,48
"420","Smp_337330",8,0,0,6,6,10,0,2,32
"421","Smp_092880",8,2,0,0,0,4,0,4,18
"422","Smp_030370",2,2,0,2,12,8,0,4,30
"423","Smp_174380",2,0,1,0,0,3,1,5,12
"424","Smp_341590",10,0,0,0,0,6,0,2,18
"425","Smp_322410",2,0,2,0,2,2,0,2,10
"426","Smp_166600",2,0,2,4,2,2,0,6,18
"427","Smp_166610",9,0,2,5,2,3,2,1,24
"428","Smp_068920",1,0,3,3,1,4,0,0,12
"429","Smp_245240",4,0,1,3,3,5,0,0,16
"430","Smp_067540",0,2,2,6,0,2,0,2,14
"431","Smp_342800",20,6,14,25,4,11,2,8,90
"432","Smp_336770",2,0,4,6,0,4,0,12,28
"433","Smp_133530",4,4,0,2,2,4,0,3,19
"434","Smp_153770",2,0,3,2,1,2,0,0,10
"435","Smp_058730",6,0,0,2,0,0,4,0,12
"436","Smp_125550",4,0,0,2,1,8,0,4,19
"437","Smp_120380",7,0,2,8,1,0,0,11,29
"438","Smp_332930",4,0,5,4,4,2,0,4,23
"439","Smp_102240",8,0,0,0,2,2,0,0,12
"440","Smp_167860",8,0,0,2,0,0,0,0,10
"441","Smp_342170",2,0,4,2,4,4,0,1,17
"442","Smp_044580",8,0,0,4,8,14,0,2,36
"443","Smp_146190",8,2,6,4,0,10,0,0,30
"444","Smp_044550",4,2,0,2,0,0,0,4,12
"445","Smp_006340",14,2,7,11,6,2,0,16,58
"446","Smp_006350",12,9,9,12,2,8,3,20,75
"447","Smp_304710",8,6,4,4,2,6,2,2,34
"448","Smp_096450",6,0,4,2,2,4,0,4,22
"449","Smp_096390",10,0,0,2,0,2,2,2,18
"450","Smp_245030",6,0,0,4,0,2,0,2,14
"451","Smp_174950",4,0,0,0,2,2,0,6,14
"452","Smp_174960",0,0,2,5,1,6,0,4,18
"453","Smp_096200",0,0,2,2,2,0,1,6,13
"454","Smp_332940",2,0,0,6,0,0,0,2,10
"455","Smp_032930",4,1,0,4,1,0,0,4,14
"456","Smp_343350",7,2,5,4,4,8,0,4,34
"457","Smp_332950",10,2,28,22,6,15,2,12,97
"458","Smp_037190",4,2,2,12,3,5,1,5,34
"459","Smp_182620",3,0,0,5,0,2,2,2,14
"460","Smp_322560",4,2,6,6,0,10,0,2,30
"461","Smp_346070",0,0,0,2,2,0,3,4,11
"462","Smp_244960",4,2,0,12,2,0,0,2,22
"463","Smp_091170",3,0,4,2,3,0,0,1,13
"464","Smp_322570",4,2,0,6,2,4,0,4,22
"465","Smp_091010",2,0,4,6,0,4,0,0,16
"466","Smp_304800",5,2,2,2,0,0,0,0,11
"467","Smp_095150",0,0,2,2,0,2,0,4,10
"468","Smp_009690",16,2,6,10,16,14,0,32,96
"469","Smp_127280",4,2,0,5,1,2,4,0,18
"470","Smp_019630",2,0,2,2,2,0,0,2,10
"471","Smp_019680",10,0,0,0,0,0,0,4,14
"472","Smp_019690",2,0,2,2,4,10,0,2,22
"473","Smp_019730",4,0,6,4,4,2,0,4,24
"474","Smp_019750",0,2,2,2,0,4,0,2,12
"475","Smp_019790",0,0,0,2,2,2,0,6,12
"476","Smp_019820",4,0,0,2,2,3,0,3,14
"477","Smp_322650",3,2,4,0,0,8,2,3,22
"478","Smp_066410",8,2,0,0,2,1,0,0,13
"479","Smp_037690",7,2,2,4,0,0,0,0,15
"480","Smp_037700",4,0,2,0,4,8,0,4,22
"481","Smp_335050",2,2,1,7,6,2,2,7,29
"482","Smp_267280",5,4,3,1,2,9,1,6,31
"483","Smp_244920",11,4,4,10,0,5,2,8,44
"484","Smp_080530",0,0,0,2,2,4,0,2,10
"485","Smp_165570",2,0,2,8,0,4,0,6,22
"486","Smp_119110",6,0,0,4,0,2,0,6,18
"487","Smp_145620",2,0,0,0,2,2,0,4,10
"488","Smp_145610",2,0,0,0,0,4,2,4,12
"489","Smp_093930",19,4,10,12,2,4,0,7,58
"490","Smp_012070",4,0,2,0,2,4,0,0,12
"491","Smp_322720",1,0,0,8,0,0,0,7,16
"492","Smp_012110",2,0,0,4,0,4,0,0,10
"493","Smp_012150",4,0,2,1,0,0,1,3,11
