gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smp_170160,1.516837121017903,0.8443748043030693,1.503837449490571,0.5614801018481775,0.5744702913392603,0.9980972876233909
Smp_170540,1.3545878380226424,1.1162902233675414,1.3714752396560173,0.8139339239164978,0.4156828052579351,0.9980972876233909
Smp_170550,2.4096481429569825,0.5319741470844466,1.1112312009500782,0.4787249913695911,0.6321342843535576,0.9980972876233909
Smp_171010,2.9890214400553043,-1.2079827008718784,1.0193148638118579,-1.1850927949333272,0.23598075951361264,0.9980972876233909
Smp_171070,1.3525111524804054,-0.8148641834408555,1.4018379173075843,-0.581282738453751,0.5610499123800012,0.9980972876233909
Smp_171150,1.7236553429082389,0.7265542775342189,1.3467287527425706,0.5394956304709572,0.5895449111745283,0.9980972876233909
Smp_171180,1.5733331257957843,0.17532837562876538,1.424110851801013,0.12311427541404868,0.9020166071330434,0.9980972876233909
Smp_171490,1.0950467273115096,-0.28241798003583185,1.5894701621619944,-0.1776805798302545,0.8589738376033597,0.9980972876233909
Smp_171720,2.6139104349743567,-1.4532606922620273,1.0773717457140746,-1.3488943793479715,0.17737089384243923,0.9980972876233909
Smp_172060,33.58658647970689,-0.47541419974972104,0.45426076523037695,-1.0465667214482328,0.29529945710920663,0.9980972876233909
Smp_172140,1.1906096594060327,-0.38771683987993644,1.4361162649482537,-0.26997594090608446,0.7871787629342251,0.9980972876233909
Smp_172700,3.1507970700214476,0.3008410380738933,1.002785959349966,0.30000523568250487,0.7641731619742053,0.9980972876233909
Smp_172790,4.306206223456696,0.1787299597954313,0.7874038358998133,0.22698639712770247,0.8204343196426558,0.9980972876233909
Smp_172850,5.5558506210013165,-0.2835380204470296,0.7946536024074153,-0.3568070661078573,0.721236246021821,0.9980972876233909
Smp_173160,3.1665787320216214,0.27757370022999134,1.0648422334902372,0.26067119757279633,0.7943460793258943,0.9980972876233909
Smp_173180,1.5270418675335478,0.20562902542029451,1.2503387955132983,0.16445864605511035,0.8693700991034111,0.9980972876233909
Smp_173190,1.6283973207780484,0.6859695808783869,1.4596390099783108,0.4699583775090938,0.6383847550716744,0.9980972876233909
Smp_173200,1.933290367209085,1.080549020375297,1.1785038809388255,0.916882021223812,0.35920446606006257,0.9980972876233909
Smp_173230,5.25362878210127,0.27056703283429984,0.8550281001821389,0.31644226988173063,0.7516668372974824,0.9980972876233909
Smp_173350,4.0907484259592195,0.39061907423638154,0.8486615553016661,0.46027662240164946,0.6453176789468662,0.9980972876233909
Smp_173640,4.393177843929746,-0.5796447778032641,0.8357337687357999,-0.6935758724696296,0.48794822905041263,0.9980972876233909
Smp_173650,1.2727116012625204,-1.29471336962376,1.5037805363627388,-0.8609722883868022,0.38925330576042605,0.9980972876233909
Smp_173840,1.9116437294019148,-0.1948531904364223,1.2783464761156669,-0.15242596125308336,0.8788509821939753,0.9980972876233909
Smp_174380,1.2423226602303103,1.8417301521608322,1.5068161495688308,1.2222660028483472,0.2216070512412046,0.9980972876233909
Smp_174420,1.820070366353145,1.6165516004111673,1.3124104414727458,1.231742410245627,0.21804532204782678,0.9980972876233909
Smp_174450,2.5400090376952407,1.1345500970058602,1.0290594535212167,1.1025117092347556,0.2702392707964009,0.9980972876233909
Smp_174850,3.375277209864999,-0.14587312609105066,0.9586244849893129,-0.15216920533036135,0.8790534816670266,0.9980972876233909
Smp_174950,1.183789860552459,1.7147279975311895,1.5648530032690235,1.095775765486645,0.2731769165282657,0.9980972876233909
