#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	1.5369458733771773E-6
11.0	7.684729366885887E-7
12.0	1.5369458733771773E-6
13.0	4.610837620131532E-6
14.0	6.916256430197299E-6
15.0	1.767487754383754E-5
16.0	4.3802957391249556E-5
17.0	1.1142857581984536E-4
18.0	1.8135961305850692E-4
19.0	3.8577341421767146E-4
20.0	7.277438710440935E-4
21.0	0.001118896595818585
22.0	0.0018896749513172394
23.0	0.0029962759801488072
24.0	0.004719960777141312
25.0	0.007627093896634242
26.0	0.00851621708438294
27.0	0.012967980806619933
28.0	0.015741399635129053
29.0	0.01975436531051686
30.0	0.024318326081510383
31.0	0.028287488799506946
32.0	0.032912158932498874
33.0	0.03582313441667525
34.0	0.04049852376348862
35.0	0.04416644509030325
36.0	0.048024179232479966
37.0	0.05195876066832554
38.0	0.05348033708296895
39.0	0.056920021947587066
40.0	0.05897952941791249
41.0	0.05890268212424363
42.0	0.06012455409357848
43.0	0.05546222878668882
44.0	0.05111728280265154
45.0	0.04434934164923514
46.0	0.0383114497856729
47.0	0.03375440527110957
48.0	0.025842976387900545
49.0	0.0205935377573808
50.0	0.016320828229392247
51.0	0.012384709847673295
52.0	0.006647290902356291
53.0	0.005758936187544283
54.0	0.004288078986722325
55.0	0.003206069091864792
56.0	0.0023253991064196688
57.0	0.0016483744491970227
58.0	0.001242620738625448
59.0	0.0012772020207764345
60.0	9.851823048347707E-4
61.0	7.308177627908477E-4
62.0	6.908571700830412E-4
63.0	4.0267981882482036E-4
64.0	3.396650380163562E-4
65.0	2.4360592093028254E-4
66.0	3.066207017387469E-4
67.0	3.266009980926502E-4
68.0	1.8673892361532706E-4
69.0	3.458128215098649E-5
70.0	1.5369458733771773E-6
71.0	0.0
72.0	0.0
73.0	0.0
74.0	7.684729366885887E-7
75.0	1.5369458733771773E-6
76.0	0.0
77.0	0.0
78.0	0.0
79.0	0.0
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	6.9162564301972976E-6
