#Position (bp)	mapping quality
489278.5	22.663866258689684
1467834.5	28.40983194445535
2446390.5	52.46749595396871
3424946.5	11.93492701532131
4403502.5	27.052241964844054
5382058.5	21.691386870646365
6360614.5	47.8690621048453
7339170.5	34.04321803626428
8317726.5	28.274595493953818
9296282.5	20.465256135303292
1.02748385E7	25.24876269693984
1.12533945E7	84.88501449132438
1.22319505E7	69.45707627634042
1.32105065E7	37.815326938096824
1.41890625E7	42.054083700900165
1.51676185E7	47.010797718935166
1.61461745E7	32.62720036293536
1.71247305E7	60.788226163975125
1.81032865E7	40.86788005590639
1.90818425E7	45.252877080795116
2.00603985E7	48.991498011568275
2.10389545E7	86.2377758129487
2.20175105E7	27.108717421516552
2.29960665E7	39.793135287374284
2.39746225E7	63.55068834760254
2.49531785E7	48.32393884825021
2.59317345E7	73.21013731400843
2.69102905E7	32.79814777886355
2.78888465E7	30.264680977197017
2.88674025E7	39.69388586641765
2.98459585E7	50.6021183528994
3.08245145E7	44.26088442745766
3.18030705E7	23.48339915166224
3.27816265E7	67.52921818724369
3.37601825E7	57.79868512115047
3.47387385E7	29.42492434981633
3.57172945E7	30.40185358765458
3.66958505E7	42.02875907765139
3.76744065E7	35.818406237888475
3.86529625E7	36.56729536086977
3.96315185E7	54.01754150913655
4.06100745E7	36.99646902071322
4.15886305E7	41.787017833865015
4.25671865E7	78.01747743023687
4.35457425E7	49.96428159703874
4.45242985E7	71.2767843338582
4.55028545E7	55.549208428082494
4.64814105E7	33.34222027048548
4.74599665E7	83.42538810367196
4.84385225E7	51.67068729122513
4.94170785E7	73.34336491781661
5.03956345E7	53.949034199196326
5.13741905E7	81.96223456292707
5.23527465E7	35.82684614951197
5.33313025E7	48.21464829497707
5.43098585E7	42.58605273872646
5.52884145E7	37.13349275554693
5.62669705E7	35.94077809726434
5.72455265E7	50.66740561976986
5.82240825E7	40.97247277963881
5.92026385E7	32.377224550365526
6.01811945E7	82.02047198379819
6.11597505E7	40.82156946036973
6.21383065E7	49.989391666049464
6.31168625E7	33.67692020513677
6.40954185E7	32.27046500751368
6.50739745E7	41.699261829956924
6.60525305E7	71.96909276955792
6.70310865E7	32.45841339551878
6.80096425E7	21.345139017301516
6.89881985E7	64.37362632769987
6.99667545E7	37.845759985582994
7.09453105E7	134.89427505971952
7.19238665E7	26.87891410345459
7.29024225E7	42.95693200437219
7.38809785E7	44.14269918902597
7.48595345E7	39.18947701087627
7.58380905E7	46.99362620138162
7.68166465E7	53.04701296758255
7.77952025E7	34.93395383026369
7.87737585E7	38.287767070824636
7.97523145E7	31.160933171259625
8.07308705E7	27.602994711731295
8.17094265E7	33.10933029144894
8.26879825E7	36.972775011072706
8.36665385E7	28.62453706961585
8.46450945E7	33.03907009049396
8.56236505E7	65.522915430563
8.66022065E7	23.179848330659304
8.75377665E7	39.405194444124774
8.80270445E7	26.49510282755129
8.85593185E7	29.581197168916553
8.95378745E7	48.08024637600087
9.05164305E7	71.49535039909074
9.14949865E7	39.266309309136034
9.24735425E7	65.22241924774016
9.34520985E7	42.62035526868235
9.44306545E7	55.90007670347703
9.54092105E7	37.75922107864379
9.63877665E7	31.40904002162248
9.73663225E7	35.27358522098051
9.83448785E7	39.06798027943156
9.93234345E7	35.78522738517783
1.003019905E8	38.784713651004786
1.012805465E8	64.94533402890177
1.022591025E8	48.223710681155524
1.032376585E8	28.099829525406374
1.042162145E8	34.376780306656535
1.051947705E8	27.982294473796724
1.061733265E8	61.33778757820105
1.071518825E8	35.56566706776117
1.081304385E8	55.30073743652277
1.091089945E8	45.69103283071992
1.100875505E8	63.68289271143225
1.110661065E8	47.50579881379814
1.120446625E8	44.735128654126285
1.130232185E8	38.966319688230335
1.140017745E8	68.29345094263005
1.149803305E8	44.59721812330342
1.159588865E8	39.73610596433773
1.169374425E8	78.38249131741013
1.179159985E8	51.1909023555697
1.188945545E8	37.62944746937181
1.198731105E8	27.614371217930568
1.208516665E8	49.33608558311856
1.218302225E8	60.29178452032111
1.228087785E8	46.479821038984326
1.237873345E8	33.501521917021684
1.247658905E8	25.303621452381282
1.257444465E8	41.185573580197385
1.267230025E8	42.17615016106058
1.277015585E8	40.399791405548385
1.286801145E8	46.27671304576283
1.296586705E8	80.51283451432013
1.306372265E8	62.728806526405826
1.316157825E8	54.61928244903435
1.325943385E8	49.19760133481703
1.335728945E8	43.50140294379085
1.345514505E8	46.48077040592948
1.355300065E8	31.675156191783714
1.365085625E8	35.40286063277644
1.374871185E8	38.38548324854602
1.384656745E8	28.768587283017503
1.394442305E8	47.22055996350158
1.404227865E8	51.39677608781513
1.414013425E8	42.652422300047
1.423798985E8	32.944143274607725
1.433584545E8	33.875011034705096
1.443370105E8	37.597283735413825
1.453155665E8	45.43043116731082
1.462941225E8	36.38002126029381
1.472726785E8	31.94797847180683
1.482512345E8	48.67478049416229
1.492297905E8	43.585184647083686
1.502083465E8	66.73503754986216
1.511869025E8	34.625793580276294
1.521654585E8	46.96910978491342
1.531440145E8	28.832192354219437
1.541225705E8	39.017233165496144
1.551011265E8	22.675961391769786
1.560796825E8	24.795014431426907
1.570582385E8	45.69927376874756
1.580367945E8	28.570817882152642
1.590153505E8	37.385811443180756
1.599939065E8	64.97694110136798
1.609724625E8	35.19553623722975
1.619510185E8	33.253778983863455
1.629295745E8	36.125082141056296
1.639081305E8	38.43663906874457
1.648866865E8	103.00006529629894
1.658652425E8	54.79117428536678
1.668437985E8	6.9961124060496465
1.678223545E8	43.0440218282814
1.688009105E8	39.443526941036794
1.697794665E8	43.078982676511764
1.707580225E8	24.379541493904124
1.717365785E8	10.565744077781362
1.727151345E8	29.060473747266755
1.736936905E8	31.393727863483463
1.744297225E8	41.03197009579481
1.749190005E8	15.309217157042562
1.756508025E8	7.158718118685582
1.766293585E8	16.644487971245766
1.776079145E8	50.345648584350705
1.785864705E8	39.23567941677401
1.795650265E8	72.61121070118662
1.805435825E8	18.33509985365927
1.815221385E8	38.784969150522144
1.825006945E8	22.187389437125248
1.834792505E8	25.865000428497616
1.844578065E8	58.13444717272291
1.854363625E8	28.296836484434298
1.864149185E8	39.05359222113041
1.873934745E8	28.4954665536059
1.883720305E8	31.622230608597818
1.893505865E8	30.874418388636766
1.903291425E8	45.706625513235295
1.913076985E8	42.996524053253204
1.922862545E8	48.39111898547186
1.932648105E8	37.50031734286521
1.942433665E8	57.57285876061838
1.952219225E8	43.75169044639165
1.962004785E8	36.38746848203417
1.971790345E8	74.2578203927461
1.981575905E8	52.76966723591204
1.991361465E8	48.97019469707377
2.001147025E8	41.31625948070767
2.010932585E8	36.09999550502333
2.020718145E8	11.868068088088851
2.030503705E8	48.03981725028917
2.040289265E8	90.89709982433205
2.050074825E8	55.097672717271344
2.059860385E8	47.458546337400584
2.069645945E8	61.02256769775799
2.079431505E8	87.75337077309564
2.089217065E8	45.22907814662514
2.099002625E8	35.05831561899247
2.108788185E8	38.01592658052825
2.118573745E8	41.307692812323374
2.128359305E8	43.15264513253246
2.138144865E8	40.278488361140134
2.147930425E8	41.818435726302944
2.157715985E8	87.2669509001643
2.167501545E8	35.99803573232942
2.177287105E8	28.83279841991042
2.187072665E8	50.33019462128071
2.196858225E8	58.924635532003094
2.206643785E8	24.231032042000702
2.216429345E8	25.451523092389873
2.226214905E8	46.403884807993805
2.236000465E8	54.46460491647704
2.242797555E8	35.07744093658126
2.247690335E8	40.18622118117697
2.255571585E8	27.229622510327662
2.265357145E8	67.59345117563728
2.275142705E8	10.89754035595923
2.284928265E8	30.239073414937494
2.294713825E8	48.60606667926539
2.304499385E8	26.131868311629415
2.314284945E8	59.435447009796334
2.324070505E8	73.08371137305271
2.333856065E8	40.69873824551493
2.343641625E8	36.0084682282923
2.353427185E8	74.98667335625798
2.363212745E8	34.61425544299529
2.372998305E8	71.65872137388668
2.382783865E8	42.893501395105154
2.392569425E8	35.47386184477631
2.402354985E8	43.56838043825606
2.412140545E8	50.67904448603483
2.421926105E8	53.65239516708554
2.431711665E8	13.555347211070137
2.441497225E8	40.81673238250623
2.451282785E8	40.94487097041355
2.461068345E8	54.81808228403204
2.470853905E8	65.24929362468963
2.480639465E8	46.70873216974813
2.490425025E8	39.1490259319909
2.500210585E8	21.02164827263332
2.509996145E8	60.408158550393324
2.519781705E8	36.798470851889476
2.529567265E8	66.52308200208104
2.539352825E8	36.62589344698213
2.549138385E8	17.466023104060387
2.558923945E8	29.641385843277245
2.568709505E8	39.80516187539706
2.578495065E8	31.58811942113583
2.588280625E8	39.878888554902126
2.598066185E8	77.67299044553319
2.607851745E8	103.5675904030441
2.617637305E8	60.013721158090945
2.627422865E8	56.11610793932875
2.637208425E8	47.39842189344857
2.646993985E8	35.41194814496202
2.656779545E8	41.76547231987633
2.666565105E8	50.33064291080385
2.676350665E8	33.320393672851594
2.686136225E8	45.11733219498564
2.695921785E8	91.4422061008874
2.70511608E8	55.60287890639273
2.71000886E8	18.061716880523054
2.715492905E8	39.787616491654866
2.725278465E8	6.485985024108341
2.735064025E8	6.297573018897094
2.744849585E8	46.4341186981329
2.754635145E8	40.880163557875115
2.764420705E8	31.07990152408906
2.774206265E8	65.04459015113298
2.783991825E8	39.024826467418315
2.793777385E8	77.58184235299444
2.803562945E8	54.75511841097279
2.813348505E8	46.98880575428078
2.823134065E8	34.5475942965777
2.832919625E8	67.74112021005969
2.842705185E8	32.466627543293036
2.852490745E8	56.547829725574715
2.862276305E8	44.96013387870106
2.872061865E8	43.160921877604586
2.881847425E8	8.933411956766152
2.891632985E8	38.80435117172363
2.901418545E8	49.369456959391755
2.911204105E8	53.4703187432856
2.920989665E8	47.99749017849924
2.930775225E8	39.05347443766402
2.940560785E8	50.98224682789977
2.950346345E8	42.376824944687534
2.960131905E8	42.23057806139558
2.969917465E8	44.78197552840977
2.979703025E8	45.37905694535953
2.989488585E8	41.65481631941278
2.999274145E8	60.87260607910379
3.009059705E8	60.00092299554597
3.018845265E8	30.839922677811657
3.028630825E8	54.046734979850584
3.038416385E8	44.59947927472468
3.048201945E8	41.79156760104396
3.057987505E8	45.67968126478349
3.067773065E8	57.84833391370818
3.077558625E8	47.64298204426955
3.087344185E8	20.95202891675808
3.097129745E8	10.782760428791478
3.106915305E8	12.583923615587093
3.116700865E8	27.90624083449466
3.126486425E8	44.882105254926515
3.136271985E8	31.081874413270498
