#Position (bp)	insert size
489278.5	79251.85369334399
1467834.5	44317.938270128005
2446390.5	2726.5434054018533
3424946.5	10857.332232769295
4403502.5	4783.440204746394
5382058.5	8613.931758530183
6360614.5	1568.8770410958905
7339170.5	3150.5974165769644
8317726.5	7605.604022627278
9296282.5	8186.244209014186
1.02748385E7	2767.07055531006
1.12533945E7	1311.3252791878172
1.22319505E7	1633.1726091628407
1.32105065E7	2487.178674351585
1.41890625E7	2870.0598401784055
1.51676185E7	2359.6461095486807
1.61461745E7	3845.8940289382513
1.71247305E7	1181.6081235436561
1.81032865E7	1943.4262333139873
1.90818425E7	3079.12722323049
2.00603985E7	1572.6873093349604
2.10389545E7	992.0101862206448
2.20175105E7	2773.790175981435
2.29960665E7	1974.1259443339961
2.39746225E7	1128.1343188934247
2.49531785E7	1577.623228263169
2.59317345E7	1592.7405482655581
2.69102905E7	6055.034417727487
2.78888465E7	2651.217557861133
2.88674025E7	2155.832368768403
2.98459585E7	2042.7926746857684
3.08245145E7	2273.4011384758364
3.18030705E7	2936.8948933746756
3.27816265E7	1541.2171709531015
3.37601825E7	1988.1684780845474
3.47387385E7	6448.9407552523135
3.57172945E7	8937.156561529662
3.66958505E7	3343.735585426247
3.76744065E7	3231.0664272890485
3.86529625E7	2439.589313407585
3.96315185E7	3009.906762183871
4.06100745E7	4670.358303206724
4.15886305E7	2297.7093306028414
4.25671865E7	3295.65946481665
4.35457425E7	2500.009703028521
4.45242985E7	3875.858607432721
4.55028545E7	1616.2206762659764
4.64814105E7	2655.741362991008
4.74599665E7	1409.1011326049916
4.84385225E7	2325.291502429187
4.94170785E7	1112.80641783029
5.03956345E7	1317.2803169499311
5.13741905E7	1197.9082900384008
5.23527465E7	2711.5296772294714
5.33313025E7	2191.523726448011
5.43098585E7	1834.9617322719637
5.52884145E7	2528.0968718466197
5.62669705E7	2493.682062048052
5.72455265E7	3026.730286019781
5.82240825E7	2318.5571879086224
5.92026385E7	3499.548056722689
6.01811945E7	1623.7721451794837
6.11597505E7	2029.3058736608791
6.21383065E7	1443.3749285142399
6.31168625E7	4609.306437602548
6.40954185E7	4379.007133346015
6.50739745E7	18511.45303833543
6.60525305E7	3743.2838534599728
6.70310865E7	5259.56087801532
6.80096425E7	3336.107344632768
6.89881985E7	1314.7317559346604
6.99667545E7	2879.693430121719
7.09453105E7	616.3808756435478
7.19238665E7	3002.524297924298
7.29024225E7	2158.9337762092587
7.38809785E7	1585.9229948805462
7.48595345E7	4102.85233661279
7.58380905E7	3492.461882379915
7.68166465E7	4310.812021273037
7.77952025E7	4363.834647969617
7.87737585E7	3847.081723065322
7.97523145E7	3101.270045205805
8.07308705E7	4429.294674336612
8.17094265E7	7579.16048278945
8.26879825E7	3113.6295857988166
8.36665385E7	3256.3575092326632
8.46450945E7	4437.042159439334
8.56236505E7	2058.528802176808
8.66022065E7	5050.22493355883
8.75377665E7	3224.9173789173788
8.80270445E7	4706.4
8.85593185E7	5338.653346855984
8.95378745E7	24935.31889449907
9.05164305E7	1990.99465663962
9.14949865E7	3277.9569650742674
9.24735425E7	1347.5263032232392
9.34520985E7	3301.504148689014
9.44306545E7	1349.7381365284566
9.54092105E7	7552.521860986547
9.63877665E7	4902.630761824527
9.73663225E7	2364.235986481762
