#Insert size (bp)	insert size
390.0	3467.0
391.0	3490.0
392.0	3381.0
393.0	3452.0
394.0	3416.0
395.0	3277.0
396.0	3203.0
397.0	3211.0
398.0	3176.0
399.0	3210.0
400.0	3049.0
401.0	3091.0
402.0	3041.0
403.0	2957.0
404.0	3110.0
405.0	3036.0
406.0	2936.0
407.0	2900.0
408.0	2773.0
409.0	2915.0
410.0	2824.0
411.0	2850.0
412.0	2704.0
413.0	2777.0
414.0	2694.0
415.0	2633.0
416.0	2671.0
417.0	2576.0
418.0	2517.0
419.0	2615.0
420.0	2661.0
421.0	2543.0
422.0	2597.0
423.0	2442.0
424.0	2393.0
425.0	2484.0
426.0	2547.0
427.0	2423.0
428.0	2425.0
429.0	2462.0
430.0	2357.0
431.0	2424.0
432.0	2327.0
433.0	2279.0
434.0	2310.0
435.0	2316.0
436.0	2174.0
437.0	2269.0
438.0	2217.0
439.0	2291.0
440.0	2184.0
441.0	2250.0
442.0	2252.0
443.0	2177.0
444.0	2039.0
445.0	2032.0
446.0	2108.0
447.0	2134.0
448.0	1907.0
449.0	2014.0
450.0	1942.0
451.0	1963.0
452.0	1883.0
453.0	1788.0
454.0	1862.0
455.0	1971.0
456.0	1905.0
457.0	1902.0
458.0	1883.0
459.0	1796.0
460.0	1854.0
461.0	1754.0
462.0	1982.0
463.0	1883.0
464.0	1879.0
465.0	1762.0
466.0	1780.0
467.0	1691.0
468.0	1627.0
469.0	1671.0
470.0	1759.0
471.0	1707.0
472.0	1607.0
473.0	1735.0
474.0	1591.0
475.0	1676.0
476.0	1643.0
477.0	1694.0
478.0	1575.0
479.0	1661.0
480.0	1603.0
481.0	1525.0
482.0	1637.0
483.0	1658.0
484.0	1514.0
485.0	1530.0
486.0	1480.0
487.0	1521.0
488.0	1592.0
489.0	1511.0
490.0	1483.0
491.0	1422.0
492.0	1464.0
493.0	1444.0
494.0	1444.0
495.0	1400.0
496.0	1427.0
497.0	1441.0
498.0	1463.0
499.0	1424.0
500.0	1425.0
501.0	1263.0
502.0	1303.0
503.0	1364.0
504.0	1307.0
505.0	1273.0
506.0	1315.0
507.0	1283.0
508.0	1349.0
509.0	1371.0
510.0	1338.0
511.0	1280.0
512.0	1346.0
513.0	1372.0
514.0	1306.0
515.0	1323.0
516.0	1241.0
517.0	1191.0
518.0	1203.0
519.0	1289.0
520.0	1221.0
521.0	1127.0
522.0	1266.0
523.0	1168.0
524.0	1107.0
525.0	1211.0
526.0	1276.0
527.0	1106.0
528.0	1232.0
529.0	1116.0
530.0	1111.0
531.0	1204.0
532.0	1086.0
533.0	960.0
534.0	1070.0
535.0	1118.0
536.0	1040.0
537.0	1137.0
538.0	1105.0
539.0	1067.0
540.0	1081.0
541.0	1026.0
542.0	979.0
543.0	1053.0
544.0	1022.0
545.0	1021.0
546.0	1107.0
547.0	1059.0
548.0	1064.0
549.0	1052.0
550.0	1030.0
551.0	950.0
552.0	983.0
553.0	947.0
554.0	973.0
555.0	963.0
556.0	940.0
557.0	880.0
558.0	1011.0
559.0	975.0
560.0	897.0
561.0	880.0
562.0	950.0
563.0	928.0
564.0	869.0
565.0	895.0
566.0	895.0
567.0	853.0
568.0	826.0
569.0	878.0
570.0	862.0
571.0	924.0
572.0	828.0
573.0	794.0
574.0	816.0
575.0	825.0
576.0	827.0
577.0	802.0
578.0	757.0
579.0	793.0
580.0	754.0
581.0	793.0
582.0	766.0
583.0	774.0
584.0	835.0
585.0	794.0
586.0	721.0
587.0	762.0
588.0	718.0
589.0	765.0
590.0	784.0
591.0	770.0
592.0	685.0
593.0	719.0
594.0	747.0
595.0	715.0
596.0	723.0
597.0	710.0
598.0	784.0
599.0	668.0
600.0	713.0
601.0	654.0
602.0	661.0
603.0	598.0
604.0	678.0
605.0	630.0
606.0	604.0
607.0	682.0
608.0	644.0
609.0	654.0
610.0	637.0
611.0	606.0
612.0	674.0
613.0	628.0
614.0	587.0
615.0	614.0
616.0	647.0
617.0	578.0
618.0	601.0
619.0	634.0
620.0	582.0
621.0	602.0
622.0	589.0
623.0	616.0
624.0	580.0
625.0	602.0
626.0	576.0
627.0	601.0
628.0	550.0
629.0	581.0
630.0	590.0
631.0	551.0
632.0	529.0
633.0	524.0
634.0	541.0
635.0	542.0
636.0	496.0
637.0	538.0
638.0	477.0
639.0	481.0
640.0	517.0
641.0	498.0
642.0	519.0
643.0	517.0
644.0	480.0
645.0	494.0
646.0	479.0
647.0	482.0
648.0	469.0
649.0	464.0
650.0	498.0
651.0	486.0
652.0	444.0
653.0	446.0
654.0	435.0
655.0	530.0
656.0	535.0
657.0	465.0
658.0	473.0
659.0	548.0
660.0	471.0
661.0	507.0
662.0	466.0
663.0	515.0
664.0	488.0
665.0	480.0
666.0	548.0
667.0	516.0
668.0	494.0
669.0	480.0
670.0	459.0
671.0	442.0
672.0	406.0
673.0	525.0
674.0	470.0
675.0	466.0
676.0	481.0
677.0	466.0
678.0	466.0
679.0	432.0
680.0	407.0
681.0	467.0
682.0	451.0
683.0	390.0
684.0	435.0
685.0	504.0
686.0	461.0
687.0	416.0
688.0	468.0
689.0	460.0
690.0	455.0
691.0	430.0
692.0	467.0
693.0	446.0
694.0	438.0
695.0	497.0
696.0	469.0
697.0	538.0
698.0	468.0
699.0	468.0
700.0	462.0
701.0	502.0
702.0	479.0
703.0	454.0
704.0	438.0
705.0	482.0
706.0	456.0
707.0	470.0
708.0	442.0
709.0	439.0
710.0	442.0
711.0	414.0
712.0	482.0
713.0	383.0
714.0	425.0
715.0	502.0
716.0	451.0
717.0	380.0
718.0	463.0
719.0	415.0
720.0	422.0
721.0	380.0
722.0	430.0
723.0	376.0
724.0	400.0
725.0	460.0
726.0	401.0
727.0	433.0
728.0	439.0
729.0	384.0
730.0	410.0
731.0	428.0
732.0	425.0
733.0	456.0
734.0	435.0
735.0	461.0
736.0	455.0
737.0	442.0
738.0	438.0
739.0	388.0
740.0	439.0
741.0	397.0
742.0	412.0
743.0	391.0
744.0	459.0
745.0	455.0
746.0	547.0
747.0	386.0
748.0	430.0
749.0	483.0
750.0	410.0
751.0	419.0
752.0	383.0
753.0	402.0
754.0	440.0
755.0	438.0
756.0	483.0
757.0	514.0
758.0	434.0
759.0	448.0
760.0	420.0
761.0	394.0
762.0	437.0
763.0	388.0
764.0	429.0
765.0	412.0
766.0	402.0
767.0	390.0
768.0	379.0
769.0	354.0
770.0	372.0
771.0	444.0
772.0	415.0
773.0	421.0
774.0	393.0
775.0	405.0
776.0	412.0
777.0	433.0
778.0	444.0
779.0	420.0
780.0	376.0
781.0	427.0
782.0	396.0
783.0	366.0
784.0	371.0
785.0	429.0
786.0	392.0
787.0	409.0
788.0	375.0
789.0	391.0
790.0	403.0
791.0	397.0
792.0	420.0
793.0	401.0
794.0	442.0
795.0	400.0
796.0	395.0
797.0	425.0
798.0	361.0
799.0	397.0
800.0	377.0
801.0	403.0
802.0	447.0
803.0	354.0
804.0	400.0
805.0	415.0
806.0	354.0
807.0	347.0
808.0	378.0
809.0	380.0
810.0	361.0
811.0	376.0
812.0	401.0
813.0	364.0
814.0	357.0
815.0	389.0
816.0	399.0
817.0	409.0
818.0	377.0
819.0	396.0
820.0	378.0
821.0	371.0
822.0	394.0
823.0	346.0
824.0	373.0
825.0	386.0
826.0	343.0
827.0	390.0
828.0	347.0
829.0	415.0
830.0	401.0
831.0	388.0
832.0	375.0
833.0	370.0
834.0	360.0
835.0	373.0
836.0	428.0
837.0	382.0
838.0	382.0
839.0	422.0
840.0	378.0
841.0	399.0
842.0	385.0
843.0	401.0
844.0	383.0
845.0	375.0
846.0	389.0
847.0	376.0
848.0	371.0
849.0	430.0
850.0	391.0
851.0	368.0
852.0	364.0
853.0	347.0
854.0	391.0
855.0	372.0
856.0	369.0
857.0	368.0
858.0	349.0
859.0	377.0
860.0	372.0
861.0	387.0
862.0	348.0
863.0	408.0
864.0	385.0
865.0	330.0
866.0	341.0
867.0	369.0
868.0	328.0
869.0	429.0
870.0	384.0
871.0	383.0
872.0	369.0
873.0	378.0
874.0	388.0
875.0	361.0
876.0	374.0
877.0	389.0
878.0	342.0
879.0	338.0
880.0	337.0
881.0	348.0
882.0	368.0
883.0	365.0
884.0	363.0
885.0	345.0
886.0	373.0
887.0	337.0
888.0	333.0
889.0	358.0
890.0	376.0
891.0	365.0
892.0	367.0
893.0	359.0
894.0	358.0
895.0	355.0
896.0	311.0
897.0	318.0
898.0	343.0
899.0	335.0
900.0	311.0
901.0	356.0
902.0	333.0
903.0	325.0
904.0	337.0
905.0	343.0
906.0	371.0
907.0	350.0
908.0	360.0
909.0	293.0
910.0	333.0
911.0	311.0
912.0	318.0
913.0	354.0
914.0	333.0
915.0	370.0
916.0	390.0
917.0	362.0
918.0	374.0
919.0	356.0
920.0	359.0
921.0	392.0
922.0	389.0
923.0	390.0
924.0	415.0
925.0	399.0
926.0	376.0
927.0	410.0
928.0	422.0
929.0	386.0
930.0	389.0
931.0	414.0
932.0	369.0
