#Read position (bp)	Clipping profile
0.0	3.419573550374085
1.0	2.6671139742330388
2.0	2.1956798270158244
3.0	2.085803514564861
4.0	1.9799893305214693
5.0	1.8884920186278416
6.0	1.7976669937200822
7.0	1.7188389774193003
8.0	1.643429209032583
9.0	1.5888887437001502
10.0	1.2509272352548053
11.0	1.1632647998298642
12.0	1.1057037774764165
13.0	1.0599219806218485
14.0	1.0096235514819383
15.0	0.9551020238110793
16.0	0.9120756567154936
17.0	0.8395349440572007
18.0	0.8041025792526934
19.0	0.7695034715574314
20.0	0.7382184546375776
21.0	0.7093574583991654
22.0	0.6781765986179673
23.0	0.6491356945946043
24.0	0.6210416736499293
25.0	0.5946709799084667
26.0	0.5663118317017591
27.0	0.5409353651929188
28.0	0.5176231037956187
29.0	0.49321245802704033
30.0	0.46972028884478934
31.0	0.4467110300326694
32.0	0.4249043127304832
33.0	0.4040728849993457
34.0	0.3821241352353563
35.0	0.3597398192551704
36.0	0.3399973070645242
37.0	0.322716690878467
38.0	0.30611783050906516
39.0	0.2889413714616636
40.0	0.27258870069272073
41.0	0.2562076234314172
42.0	0.23966557604673663
43.0	0.22755494147031624
44.0	0.21439326667655212
45.0	0.20378817619524578
46.0	0.1930978662368575
47.0	0.18500201591407453
48.0	0.17643272405194751
49.0	0.17171724632008095
50.0	0.1673805218196896
51.0	0.16373502196674056
52.0	0.16275026356490496
53.0	0.1614625025778892
54.0	0.16039252469897167
55.0	0.16011792860615215
56.0	0.16119737531585654
57.0	0.16275973239569183
58.0	0.1642368699984452
59.0	0.16671770366460795
60.0	0.1701359515786719
61.0	0.17424542414017807
62.0	0.17721863700725862
63.0	0.18199092772384648
64.0	0.18678215610200807
65.0	0.19317361688315254
66.0	0.20096646462075532
67.0	0.20909072143589896
68.0	0.21699719514294433
69.0	0.22617249217543167
70.0	0.2358969813935581
71.0	0.24587712904293035
72.0	0.2562454987545647
73.0	0.26787322296085414
74.0	0.2793021017206191
75.0	0.2919903349750392
76.0	0.30397787475123017
77.0	0.31597488335820795
78.0	0.3301023788922339
79.0	0.3430936147318342
80.0	0.3562458206948115
81.0	0.368896178626084
82.0	0.3832888014221426
83.0	0.3992059059748891
84.0	0.41515141701999614
85.0	0.43184496569726677
86.0	0.44792304037339015
87.0	0.46463552671223446
88.0	0.4831092155774387
89.0	0.49869491105264424
90.0	0.516808784347947
91.0	0.5348469069969547
92.0	0.5523263686295364
93.0	0.5693702640459215
94.0	0.5894820606372561
95.0	0.6090257273813778
96.0	0.6266945656296972
97.0	0.6444391545243116
98.0	0.6630075316973845
99.0	0.6803733673605237
100.0	0.6982031757322199
101.0	0.7144138140393597
102.0	0.7307096718235813
103.0	0.7460302400367542
104.0	0.762307160159402
105.0	0.7766145634783788
106.0	0.7889619188244712
107.0	0.800239296291646
108.0	0.811904895821083
109.0	0.8231538667958973
110.0	0.8344217754322854
111.0	0.8452730555140505
112.0	0.8556982382104061
113.0	0.8631123327165338
114.0	0.87062111553053
115.0	0.8792850957005259
116.0	0.8881763278094068
117.0	0.894189035359076
118.0	0.8997188325386143
119.0	0.9071329270447419
120.0	0.9190731226669984
121.0	0.9279454171143056
122.0	0.9370544323312848
123.0	0.9535870108851785
124.0	0.9930815040972577
125.0	1.0041316296255476
126.0	1.023438575599997
127.0	1.0335796933727464
128.0	1.0409464437249394
129.0	1.0460027993651337
130.0	1.0512580004518526
131.0	1.0631508519201747
132.0	1.0824767355561982
133.0	1.1151442017709365
134.0	1.168813534670976
135.0	1.2170004145454119
136.0	1.2684729787028952
137.0	1.3098328315799899
138.0	1.3698652187688134
139.0	1.7145022529189091
140.0	1.8478328592289757
