9920
Smp_329140	Smp_329140	protein_coding
Smp_315690	Smp_315690	protein_coding
Smp_317470	Smp_317470	protein_coding
Smp_318880	Smp_318880	protein_coding
Smp_319020	Smp_319020	protein_coding
Smp_349630	Smp_349630	protein_coding
Smp_349560	Smp_349560	protein_coding
Smp_179970	Smp_179970	protein_coding
Smp_173350	Smp_173350	protein_coding
Smp_317840	Smp_317840	protein_coding
Smp_165590	Smp_165590	protein_coding
Smp_165600	Smp_165600	protein_coding
Smp_319240	Smp_319240	protein_coding
Smp_319340	Smp_319340	protein_coding
Smp_350240	Smp_350240	protein_coding
Smp_243170	Smp_243170	protein_coding
Smp_199340	Smp_199340	protein_coding
Smp_180260	Smp_180260	protein_coding
Smp_311250	Smp_311250	protein_coding
Smp_349570	Smp_349570	protein_coding
Smp_242000	Smp_242000	protein_coding
Smp_078490	Smp_078490	protein_coding
Smp_164480	Smp_164480	protein_coding
Smp_350510	Smp_350510	protein_coding
Smp_201260	Smp_201260	protein_coding
Smp_099150	Smp_099150	protein_coding
Smp_099160	Smp_099160	protein_coding
Smp_099210	Smp_099210	protein_coding
Smp_176600	Smp_176600	protein_coding
Smp_099170	Smp_099170	protein_coding
Smp_346460	Smp_346460	protein_coding
Smp_099240	Smp_099240	protein_coding
Smp_176620	Smp_176620	protein_coding
Smp_176630	Smp_176630	protein_coding
Smp_176640	Smp_176640	protein_coding
Smp_176650	Smp_176650	protein_coding
Smp_346470	Smp_346470	protein_coding
Smp_099300	Smp_099300	protein_coding
Smp_099310	Smp_099310	protein_coding
Smp_099320	Smp_099320	protein_coding
Smp_305350	Smp_305350	protein_coding
Smp_176700	Smp_176700	protein_coding
Smp_323110	Smp_323110	protein_coding
Smp_336800	Smp_336800	protein_coding
Smp_087760	SCM-1	protein_coding
Smp_306370	Smp_306370	protein_coding
Smp_337450	Smp_337450	protein_coding
Smp_176760	Smp_176760	protein_coding
Smp_241980	Smp_241980	protein_coding
Smp_176780	Smp_176780	protein_coding
Smp_341680	Smp_341680	protein_coding
Smp_099570	Smp_099570	protein_coding
Smp_346480	Smp_346480	protein_coding
Smp_241990	Smp_241990	protein_coding
Smp_345330	Smp_345330	protein_coding
Smp_085010	Smp_085010	protein_coding
Smp_168290	Smp_168290	protein_coding
Smp_345790	Smp_345790	protein_coding
Smp_103610	cb1.1	protein_coding
Smp_179960	Smp_179960	protein_coding
Smp_333870	Smp_333870	protein_coding
Smp_333930	Smp_333930	protein_coding
Smp_333220	Smp_333220	protein_coding
Smp_334070	Smp_334070	protein_coding
Smp_334240	Smp_334240	protein_coding
Smp_067060	cb1.2	protein_coding
Smp_344940	Smp_344940	protein_coding
Smp_067090	Smp_067090	protein_coding
Smp_158430	Smp_158430	protein_coding
Smp_158440	Smp_158440	protein_coding
Smp_200460	Smp_200460	protein_coding
Smp_173020	Smp_173020	protein_coding
Smp_092950	Smp_092950	protein_coding
Smp_326440	Smp_326440	pseudogene
Smp_092930	Smp_092930	protein_coding
Smp_244890	Smp_244890	protein_coding
Smp_244880	Smp_244880	protein_coding
Smp_160410	Smp_160410	protein_coding
Smp_347660	Smp_347660	protein_coding
Smp_306440	Smp_306440	protein_coding
Smp_328690	Smp_328690	protein_coding
Smp_213650	Smp_213650	protein_coding
Smp_213640	Smp_213640	protein_coding
Smp_160460	Smp_160460	protein_coding
Smp_244700	Smp_244700	protein_coding
Smp_070540	Smp_070540	protein_coding
Smp_160490	Smp_160490	protein_coding
Smp_244670	Smp_244670	protein_coding
Smp_313840	Smp_313840	protein_coding
Smp_164190	Smp_164190	protein_coding
Smp_164180	Smp_164180	protein_coding
Smp_330320	Smp_330320	protein_coding
Smp_164200	Smp_164200	protein_coding
Smp_077980	Smp_077980	protein_coding
Smp_164210	Smp_164210	protein_coding
Smp_168930	Smp_168930	protein_coding
Smp_114430	Smp_114430	protein_coding
Smp_114435	Smp_114435	protein_coding
Smp_086060	Smp_086060	protein_coding
Smp_349660	Smp_349660	protein_coding
Smp_154980	Smp_154980	protein_coding
Smp_154970	Smp_154970	protein_coding
Smp_200620	Smp_200620	protein_coding
Smp_061100	Smp_061100	protein_coding
Smp_154960	Smp_154960	protein_coding
Smp_331210	Smp_331210	pseudogene
Smp_196400	Smp_196400	protein_coding
Smp_103790	Smp_103790	protein_coding
Smp_201070	Smp_201070	protein_coding
Smp_318490	Smp_318490	protein_coding
Smp_016050	Smp_016050	protein_coding
Smp_130910	Smp_130910	protein_coding
Smp_172850	Smp_172850	protein_coding
Smp_245010	Smp_245010	protein_coding
Smp_016090	Smp_016090	protein_coding
Smp_130940	Smp_130940	protein_coding
Smp_347280	Smp_347280	protein_coding
Smp_016200	Smp_016200	protein_coding
Smp_016180	Smp_016180	protein_coding
Smp_319030	Smp_319030	protein_coding
Smp_130980	Smp_130980	protein_coding
Smp_342560	Smp_342560	protein_coding
Smp_130960	Smp_130960	protein_coding
Smp_016130	Smp_016130	protein_coding
Smp_130950	Smp_130950	protein_coding
Smp_171010	Smp_171010	protein_coding
Smp_089570	Smp_089570	protein_coding
Smp_171020	Smp_171020	protein_coding
Smp_089590	Smp_089590	protein_coding
Smp_171030	Smp_171030	protein_coding
Smp_245050	Smp_245050	protein_coding
