10960
Smp_329140.1	68426	68782	68782	2	1	0	0
Smp_315690.1	83502	131261	68782	2	4	1	1
Smp_315690.2	83502	131261	131261	2	7	5	1
Smp_317470.2	216286	227068	131261	1	4	12	2
Smp_317470.3	216287	250958	227068	1	4	16	2
Smp_317470.1	216288	251095	250958	1	4	20	2
Smp_318880.1	261045	277058	251095	1	1	24	3
Smp_319020.1	284127	285187	277058	2	4	25	4
Smp_349630.1	404132	411055	285187	2	11	29	5
Smp_349560.1	462918	472248	411055	1	11	40	6
Smp_179970.1	617997	625945	472248	1	12	51	7
Smp_173350.1	705698	713637	625945	1	12	63	8
Smp_317840.1	738869	742214	713637	1	1	75	9
Smp_165590.1	1046762	1049596	742214	2	6	76	10
Smp_165600.1	1095653	1099462	1049596	2	4	82	11
Smp_319240.1	1210371	1214750	1099462	2	5	86	12
Smp_319340.1	1237155	1270053	1214750	1	7	91	13
Smp_319340.2	1237155	1270053	1270053	1	8	98	13
Smp_319340.3	1237155	1270053	1270053	1	7	106	13
Smp_350240.1	1348401	1355720	1270053	1	11	113	14
Smp_243170.1	1437905	1467382	1355720	2	18	124	15
Smp_199340.1	1476491	1488842	1467382	1	14	142	16
Smp_180260.1	1770886	1791587	1488842	2	4	156	17
Smp_311250.1	1806071	1815503	1791587	1	3	160	18
Smp_349570.1	1919468	1927420	1815503	1	12	163	19
Smp_242000.1	2036588	2036722	1927420	1	1	175	20
Smp_078490.1	2040270	2042089	2036722	1	5	176	21
Smp_164480.1	2060457	2061422	2042089	2	1	181	22
Smp_350510.1	2096695	2105036	2061422	1	16	182	23
Smp_201260.1	2099946	2100221	2105036	1	1	198	24
Smp_099150.1	2169362	2175656	2105036	2	4	199	25
Smp_099160.1	2193640	2196692	2175656	1	4	203	26
Smp_099210.1	2207871	2223286	2196692	2	1	207	27
Smp_176600.1	2223385	2268741	2223286	1	11	208	28
Smp_099170.1	2275134	2281556	2268741	2	3	219	29
Smp_346460.1	2294480	2349074	2281556	1	9	222	30
Smp_099240.1	2352716	2361069	2349074	2	4	231	31
Smp_176620.1	2362101	2381271	2361069	2	9	235	32
Smp_176630.1	2395970	2419784	2381271	1	9	244	33
Smp_176640.1	2428450	2436070	2419784	1	6	253	34
Smp_176650.1	2458077	2499671	2436070	1	6	259	35
Smp_346470.1	2503017	2512153	2499671	2	9	265	36
Smp_099300.1	2538097	2540122	2512153	1	6	274	37
Smp_099310.1	2541672	2578473	2540122	2	13	280	38
Smp_099310.2	2541672	2578473	2578473	2	12	293	38
Smp_099320.1	2584927	2589578	2578473	1	6	305	39
Smp_305350.1	2589774	2661625	2589578	2	15	311	40
Smp_176700.1	2733117	2733733	2661625	1	3	326	41
Smp_323110.1	2742387	2743152	2733733	1	3	329	42
Smp_336800.1	2766744	2834260	2743152	1	11	332	43
Smp_087760.1	2838391	2839953	2834260	2	3	343	44
Smp_306370.1	2859387	2951116	2839953	2	18	346	45
Smp_337450.1	3087512	3093759	2951116	1	2	364	46
Smp_176760.1	3155465	3167639	3093759	2	6	366	47
Smp_241980.1	3177718	3308861	3167639	1	46	372	48
Smp_176780.1	3311285	3359140	3308861	2	13	418	49
Smp_341680.1	3371807	3380217	3359140	1	8	431	50
Smp_099570.1	3380278	3384823	3380217	2	5	439	51
Smp_346480.1	3402467	3456394	3384823	1	22	444	52
Smp_241990.1	3460002	3465962	3456394	2	7	466	53
Smp_345330.1	3474617	3517485	3465962	1	5	473	54
Smp_085010.1	3593247	3601271	3517485	1	4	478	55
Smp_085010.2	3593247	3601271	3601271	1	3	482	55
Smp_168290.1	3609309	3609644	3601271	1	1	485	56
Smp_345790.1	3632837	3639271	3609644	1	9	486	57
Smp_103610.1	3735825	3738544	3639271	2	4	495	58
Smp_179960.1	3755433	3755718	3738544	1	1	499	59
Smp_333870.1	3756268	3758635	3755718	1	4	500	60
Smp_333930.1	3777640	3779937	3758635	2	4	504	61
Smp_333220.1	3794811	3796403	3779937	2	3	508	62
Smp_334070.1	3807233	3807463	3796403	2	1	511	63
Smp_334240.1	3831753	3834035	3807463	2	4	512	64
Smp_067060.1	3896818	3899576	3834035	2	4	516	65
Smp_344940.1	3951340	3954668	3899576	1	2	520	66
Smp_067090.1	3957511	3964976	3954668	2	3	522	67
Smp_067090.2	3957511	3964976	3964976	2	3	525	67
Smp_158430.1	3973641	3998266	3964976	2	10	528	68
Smp_158440.1	4013008	4021366	3998266	2	4	538	69
Smp_158440.2	4013008	4021366	4021366	2	3	542	69
Smp_158440.3	4013008	4027326	4021366	2	4	545	69
Smp_200460.1	4030096	4049166	4027326	2	5	549	70
Smp_173020.1	4065097	4098670	4049166	2	10	554	71
Smp_092950.1	4105301	4160069	4098670	2	21	564	72
Smp_326440.1	4158456	4161585	4160069	1	4	585	73
Smp_092930.1	4167887	4177846	4161585	1	2	589	74
Smp_244890.1	4204723	4218712	4177846	1	9	591	75
Smp_244890.2	4204723	4233185	4218712	1	6	600	75
Smp_244880.1	4246146	4252858	4233185	1	9	606	76
Smp_160410.1	4265475	4275953	4252858	2	5	615	77
Smp_347660.1	4278987	4293590	4275953	1	7	620	78
Smp_306440.1	4296857	4341422	4293590	2	22	627	79
Smp_328690.1	4345567	4390602	4341422	1	18	649	80
Smp_213650.1	4401688	4404515	4390602	1	2	667	81
Smp_213640.1	4406135	4413415	4404515	1	5	669	82
Smp_160460.1	4415922	4525433	4413415	2	16	674	83
Smp_244700.1	4542618	4661753	4525433	2	32	690	84
Smp_244700.2	4542618	4661753	4661753	2	33	722	84
Smp_244700.3	4542618	4661753	4661753	2	32	755	84
Smp_244700.4	4542618	4661753	4661753	2	33	787	84
Smp_244700.5	4542618	4661753	4661753	2	34	820	84
Smp_070540.1	4671537	4694703	4661753	2	9	854	85
Smp_160490.1	4707827	4769171	4694703	1	19	863	86
Smp_244670.1	4773948	4794253	4769171	2	8	882	87
Smp_313840.1	4799835	4842352	4794253	2	26	890	88
Smp_164190.1	4864988	4885452	4842352	1	5	916	89
Smp_164180.1	4895000	4913775	4885452	2	2	921	90
