#Transcript position	Transcript coverage profile
0.0	0.7678989473975391
1.0	0.6082817072386995
2.0	0.5813767474839164
3.0	0.6483254716283742
4.0	0.7169637535806361
5.0	0.6150953046434214
6.0	0.5165019617486798
7.0	0.4541857637182083
8.0	0.47735622454993637
9.0	0.4726665864819017
10.0	0.4962061343635766
11.0	0.48872036932329793
12.0	0.6310428824772666
13.0	0.7217361126850691
14.0	0.7032168218322293
15.0	0.6537220127570161
16.0	0.6988431148599963
17.0	0.5941165137943997
18.0	0.5568291074152694
19.0	0.5409796928212084
20.0	0.6182981599579145
21.0	0.560172636042868
22.0	0.5224626460293631
23.0	0.38404763394749397
24.0	0.3993138129321302
25.0	0.4812789093423806
26.0	0.43895537369220583
27.0	0.33852956667991113
28.0	0.29740698701056095
29.0	0.4521692042216562
30.0	0.5781035915512193
31.0	0.6274550331253144
32.0	0.5582536461941034
33.0	0.4750375978216343
34.0	0.3953662985014462
35.0	0.38906619846641344
36.0	0.5046985944743518
37.0	0.4470296005848255
38.0	0.5355588661242274
39.0	0.6233383897638446
40.0	0.608393273816961
41.0	0.5744848171862698
42.0	0.5550625231560675
43.0	0.5529440119908154
44.0	0.6094821366017388
45.0	0.6116265274258894
46.0	0.5803489760847705
47.0	0.5566496950510856
48.0	0.6000567402313199
49.0	0.5743721138243314
50.0	0.5280859156639865
51.0	0.49351261737494195
52.0	0.49231127982432205
53.0	0.5235210060181041
54.0	0.6039317295367496
55.0	0.6262439220229638
56.0	0.5934494775821283
57.0	0.5720692612197427
58.0	0.5434359324019437
59.0	0.6091455085450719
60.0	0.6158493279105032
61.0	0.6736409248877768
62.0	0.7592957562036299
63.0	0.7620072304503401
64.0	0.6161968579627586
65.0	0.6833346947479858
66.0	0.6132665992013366
67.0	0.6606454294740997
68.0	0.7439015945547852
69.0	0.7156239596661278
70.0	0.6872159195206039
71.0	0.806789177798833
72.0	0.7476619436294148
73.0	0.7767242923456662
74.0	0.6904922610506449
75.0	0.7214212930189465
76.0	0.7572637932227368
77.0	0.9178765513527933
78.0	0.8080504644024329
79.0	0.8405301009003259
80.0	0.9025560732616271
81.0	1.0331219064121426
82.0	1.1181149432731867
83.0	1.0978555974807318
84.0	0.9482948503216319
85.0	0.9223645369571979
86.0	1.007421312410143
87.0	1.1240379071002975
88.0	1.2742005514635422
89.0	1.1405625239307184
90.0	1.1054962946022837
91.0	0.9463889948104606
92.0	1.0125289579304233
93.0	1.120145977640412
94.0	1.1036663869764136
95.0	1.2179789327537491
96.0	1.3080830819935054
97.0	1.1487610809092987
98.0	1.0145342150058865
99.0	0.570188306671058
