#Read position (bp)	Clipping profile
0.0	3.3152666149240657
1.0	2.5797467341786793
2.0	2.1287767294256965
3.0	2.0411723623902525
4.0	1.9552393326894617
5.0	1.8822169144220826
6.0	1.8104996416014267
7.0	1.7505850150148063
8.0	1.6906609988925982
9.0	1.6415443382321044
10.0	1.2850800091716983
11.0	1.1934944790469697
12.0	1.116021420910909
13.0	1.0608860679385481
14.0	1.0108022851124971
15.0	0.9537796354869611
16.0	0.910306085714817
17.0	0.8399315164832358
18.0	0.803331106761461
19.0	0.7699606972819361
20.0	0.739266305444973
21.0	0.710759675399999
22.0	0.6794361846786441
23.0	0.6504131301763336
24.0	0.6232585932560224
25.0	0.596864608718334
26.0	0.5695035020150883
27.0	0.545278500198213
28.0	0.5226872775736389
29.0	0.4982838745805929
30.0	0.47477247746840096
31.0	0.45334555725673076
32.0	0.4317777940112415
33.0	0.4116090715683548
34.0	0.3898722966822827
35.0	0.3683045334367935
36.0	0.34904659594593657
37.0	0.3303801991971196
38.0	0.3138452270267641
39.0	0.29754499324610706
40.0	0.28085978850634463
41.0	0.26583653156564685
42.0	0.2501653966693815
43.0	0.23582757582660308
44.0	0.22088882470619672
45.0	0.21034437624094451
46.0	0.20031635223302877
47.0	0.19327420054207667
48.0	0.18582829882084334
49.0	0.18124620545393053
50.0	0.17702091443935927
51.0	0.1735467862718229
52.0	0.17271111760449662
53.0	0.17094588491396462
54.0	0.16935905339960342
55.0	0.1688050707999152
56.0	0.16967829760959327
57.0	0.17057969302603512
58.0	0.16738725092613685
59.0	0.16998815228399514
60.0	0.1736688502344661
61.0	0.17823216453020305
62.0	0.18218515901272414
63.0	0.18684236866434042
64.0	0.19184699113271036
65.0	0.1985323404713209
66.0	0.20662612014812182
67.0	0.21513303939079192
68.0	0.22275734228819605
69.0	0.23130181967321786
70.0	0.24031577383763653
71.0	0.25054097809289894
72.0	0.2603342637111163
73.0	0.2714139157048809
74.0	0.28284098051539913
75.0	0.2953384523829421
76.0	0.3075354591116711
77.0	0.31914092509836006
78.0	0.33360080990378166
79.0	0.3479198516753842
80.0	0.36059572471909795
81.0	0.3732903768339876
82.0	0.38638877897915846
83.0	0.4019847975907203
84.0	0.41677331614171964
85.0	0.432885759210618
86.0	0.44874468481864205
87.0	0.4648289592807766
88.0	0.4826784664334431
89.0	0.5049598343836155
90.0	0.5224431496483525
91.0	0.5417855929595009
92.0	0.5581046058113338
93.0	0.5740292581684734
94.0	0.5939632422216617
95.0	0.6175121974762056
96.0	0.6370330419635246
97.0	0.6535492350627042
98.0	0.6705536840124565
99.0	0.6862717665866616
100.0	0.7022621456929168
101.0	0.7142431931031232
102.0	0.7285997930170776
103.0	0.7427686022192731
104.0	0.7578951440514381
105.0	0.7722047962874528
106.0	0.7816318900177406
107.0	0.7906646232533352
108.0	0.8011151763627079
109.0	0.8119694795023622
110.0	0.8265702073416028
111.0	0.8366263999562824
112.0	0.857114366609159
113.0	0.8748605888703581
114.0	0.8845412000615203
115.0	0.8940340205409236
116.0	0.9037991375523772
117.0	0.9113764927718416
118.0	0.9166252431654979
119.0	0.923226086683817
120.0	0.9303903023374123
121.0	0.9403432100606245
122.0	0.9477609431750941
123.0	0.9627560315090279
124.0	0.998905743522582
125.0	1.0090933896354926
126.0	1.0285391178381083
127.0	1.0408394094583047
128.0	1.05705513741867
129.0	1.0622851087411507
130.0	1.07206900482378
131.0	1.0814022031981885
132.0	1.0940405180995505
133.0	1.1144439789321356
134.0	1.1434106962209185
135.0	1.176687210344564
136.0	1.2075881719644617
137.0	1.2324610517369046
138.0	1.265305647223505
139.0	1.6011036084548638
140.0	1.7467446949593406
