#Position (bp)	insert size
489278.5	82222.43009184225
1467834.5	43707.793822939995
2446390.5	2828.1849993483643
3424946.5	11076.414105594957
4403502.5	4795.078508568782
5382058.5	8586.89539198085
6360614.5	1622.2086999560054
7339170.5	3258.255371609722
8317726.5	7323.201441102757
9296282.5	8737.103515279985
1.02748385E7	2717.912368112544
1.12533945E7	1326.9798226013947
1.22319505E7	1669.947818482169
1.32105065E7	2463.4293993677557
1.41890625E7	2876.750015538567
1.51676185E7	2329.5466871493454
1.61461745E7	3852.1972719869705
1.71247305E7	1178.8786534327403
1.81032865E7	1946.367062348738
1.90818425E7	3075.6112420670897
2.00603985E7	1578.5471717171718
2.10389545E7	1004.743110355712
2.20175105E7	2742.564823733385
2.29960665E7	2017.087051575077
2.39746225E7	1145.7510949769166
2.49531785E7	1573.7507374631268
2.59317345E7	1600.0600078441626
2.69102905E7	5734.446877098724
2.78888465E7	2826.9305467260015
2.88674025E7	2163.96840186348
2.98459585E7	2116.290039194486
3.08245145E7	2211.8994062172546
3.18030705E7	2915.316589890831
3.27816265E7	1527.7076876559074
3.37601825E7	2144.978755065856
3.47387385E7	7950.909212730318
3.57172945E7	8908.407055189791
3.66958505E7	3299.607733844278
3.76744065E7	3231.645157295021
3.86529625E7	2430.6525603046975
3.96315185E7	3063.900391474554
4.06100745E7	3473.759896689364
4.15886305E7	2308.510350115001
4.25671865E7	3462.7180566030247
4.35457425E7	2812.6360649967737
4.45242985E7	4135.589303353873
4.55028545E7	1627.6830464854431
4.64814105E7	2577.630989272944
4.74599665E7	1534.4837577702026
4.84385225E7	2307.998531840705
4.94170785E7	1116.0943988411395
5.03956345E7	1338.5079164754475
5.13741905E7	1212.3183795694672
5.23527465E7	2690.199882364474
5.33313025E7	2176.4214961306966
5.43098585E7	1797.2251047839284
5.52884145E7	2537.416919191919
5.62669705E7	2459.395723799509
5.72455265E7	3055.6380773697847
5.82240825E7	2437.4488566131026
5.92026385E7	3589.6675831369466
6.01811945E7	1829.7183357395984
6.11597505E7	2056.1729829414476
6.21383065E7	8720.82552659421
6.31168625E7	4864.2304836345875
6.40954185E7	4676.934284355682
6.50739745E7	20805.88536824384
6.60525305E7	3534.815018688413
6.70310865E7	5260.822026128811
6.80096425E7	3397.3478260869565
6.89881985E7	1324.8661282807889
6.99667545E7	2872.7409034336333
7.09453105E7	619.2445445026178
7.19238665E7	3089.6985482493596
7.29024225E7	2160.9925326695707
7.38809785E7	1604.9265218939124
7.48595345E7	3628.756118957803
7.58380905E7	4164.560087066102
7.68166465E7	4508.026697102025
7.77952025E7	4494.026135202219
7.87737585E7	3857.9855796418474
7.97523145E7	2988.687544653489
8.07308705E7	4490.759094283593
8.17094265E7	7701.734120793403
8.26879825E7	3140.6279470341265
8.36665385E7	3194.041107041107
8.46450945E7	5304.214386613061
8.56236505E7	2056.8608408617097
8.66022065E7	5001.295602018746
8.75377665E7	3273.8955175224123
8.80270445E7	4067.6451204055766
8.85593185E7	5240.890212932213
8.95378745E7	21719.547388260635
9.05164305E7	2032.8283316880552
9.14949865E7	3243.0277644037874
9.24735425E7	1366.016319057475
9.34520985E7	3287.0565476190477
9.44306545E7	1359.4230285893811
9.54092105E7	7573.569139966273
